city,n_days,t2m_mean,prectot_sum,rh2m_mean
abuja,365,25.933068493150685,1030.73,70.09375342465754
gombe,365,27.104876712328767,862.01,53.36887671232877
kano,365,27.342712328767124,404.08,42.09676712328767
lagos,365,26.845561643835616,1725.77,85.40008219178083
port_harcourt,365,26.205616438356163,1891.07,87.71969863013699
